name,country,howstatid,iccid,role,rank,icc_role,rating,format
Neil Rock,IRE,6148,,batsman,-1,-1,-1
Finn Allen,NZ,5956,,batsman,-1,-1,-1
Tom Blundell,NZ,4624,,batsman,-1,-1,-1
Trent Boult,NZ,3924,,Bowler,-1,-1,-1
Chad Bowes,NZ,7194,,batsman,-1,-1,-1
Michael Bracewell,NZ,3934,1279,batsman,-1,-1,-1
Mark Chapman,NZ,4278,,batsman,-1,-1,-1
Devon Conway,NZ,5924,4650,batsman,-1,-1,-1
Jacob Duffy,NZ,5930,,Bowler,-1,-1,-1
Lockie Ferguson,NZ,4609,,Bowler,-1,-1,-1
Dean Foxcroft,NZ,7443,-1,Allrounder,-1,-1,-1
Matt Henry,NZ,4257,1505,bowler,-1,-1,-1
Kyle Jamieson,NZ,5774,1616,bowler,-1,-1,-1
Tom Latham,NZ,3932,1140,bowler,-1,-1,-1
Ben Lister,NZ,7123,,bowler,-1,-1,-1
Cole McConchie,NZ,6149,,Allrounder,-1,-1,-1
Adam Milne,NZ,3839,434,bowler,-1,-1,-1
Daryl Mitchell,NZ,4720,3642,Allrounder,-1,-1,-1
James Neesham,NZ,3986,,Allrounder,-1,-1,-1
Henry Nicholls,NZ,4509,2890,batsman,-1,-1,-1
Glenn Phillips,NZ,4647,3027,batsman,-1,-1,-1
Rachin Ravindra,NZ,6150,-1,bowler,-1,-1,-1
Mitchell Santner,NZ,4429,1903,bowler,-1,-1,-1
Henry Shipley,NZ,7116,,bowler,-1,-1,-1
Ish Sodhi,NZ,4243,1304,bowler,-1,-1,-1
Tim Southee,NZ,3542,307,allrounder,-1,-1,-1
Blair Tickner,NZ,4851,4598,bowler,-1,-1,-1
Kane Williamson,NZ,3817,440,allrounder,-1,-1,-1
Will Young,NZ,5927,4596,batsman,-1,-1,-1
Adithya Ashok,NZ,7442,-1,bowler,-1,-1,-1
Dane Cleaver,NZ,6795,-1,batsman,-1,-1,-1
Tim Seifert,NZ,4732,1619,batsman,-1,-1,-1
Abdullah Shafique,PAK,5921,-1,batsman,-1,-1,-1
Abrar Ahmed,PAK,7092,-1,bowler,-1,-1,-1
Agha Salman,PAK,6790,-1,allrounder,-1,-1,-1
Azhar Ali (Lahore),PAK,3816,-1,batsman,-1,-1,-1
Babar Azam,PAK,4425,-1,batsman,-1,-1,-1
Faheem Ashraf,PAK,4690,4208,allrounder,-1,-1,-1
Haris Rauf,PAK,5771,-1,allrounder,-1,-1,-1
Hasan Ali,PAK,4579,-1,bowler,-1,-1,-1
Imam-ul-Haq,PAK,4706,1568,batsman,-1,-1,-1
Mir Hamza,PAK,4820,-1,bowler,-1,-1,-1
Mohammad Ali,PAK,7054,3195,batsman,-1,-1,-1
Mohammad Nawaz,PAK,4536,3195,batsman,-1,-1,-1
Mohammad Rizwan,PAK,4412,-1,batsman,-1,-1,-1
Mohammad Wasim,PAK,6058,2760,bowler,-1,-1,-1
Naseem Shah,PAK,5727,-1,bowler,-1,-1,-1
Noman Ali,PAK,5941,-1,bowler,-1,-1,-1
Sarfaraz Ahmed,PAK,3513,-1,bowler,-1,-1,-1
Saud Shakeel,PAK,6039,-1,batsman,-1,-1,-1
Shaheen Shah Afridi,PAK,4798,-1,bowler,-1,-1,-1
Shan Masood,PAK,1101,1305,bowler,-1,-1,-1
Zahid Mahmood,PAK,2113,19581,bowler,-1,-1,-1
Fakhar Zaman,PAK,4654,-1,batsman,-1,-1,-1
Haris Sohail,PAK,4225,-1,batsman,-1,-1,-1
Iftikhar Ahmed,PAK,4488,2888,batsman,-1,-1,-1
Ihsanullah,PAK,7190,-1,bowler,-1,-1,-1
Kamran Ghulam,PAK,7121,-1,allrounder,-1,-1,-1
Mohammad Haris,PAK,6630,-1,batsman,-1,-1,-1
Mohammad Hasnain,PAK,4991,-1,bowler,-1,-1,-1
Shadab Khan,PAK,4653,3046,allrounder,-1,-1,-1
Usama Mir,PAK,7117,-1,bowler,-1,-1,-1
Zaman Khan,PAK,7193,-1,bowler,-1,-1,-1
Aamer Jamal,PAK,1068,-1,batsman,-1,-1,-1
Arafat Minhas,PAK,7531,-1,bowler,-1,-1,-1
Arshad Iqbal,PAK,5993,-1,bowler,-1,-1,-1
Asif Ali,PAK,4747,-1,batsman,-1,-1,-1
Azam Khan,PAK,2070,-1,batsman,-1,-1,-1
Haider Ali,PAK,5845,-1,batsman,-1,-1,-1
Imad Wasim,PAK,4423,2760,bowler,-1,-1,-1
Khushdil Shah,PAK,5663,-1,batsman,-1,-1,-1
Mirza Baig,PAK,7532,,batsman,-1,-1,-1
Mubasir Khan,PAK,7563,-1,allrounder,-1,-1,-1
Omair Yousuf,PAK,7533,,batsman,-1,-1,-1
Qasim Akram,PAK,7534,-1,allrounder,-1,-1,-1
Rohail Nazir,PAK,7535,-1,batsman,-1,-1,-1
Saim Ayub,PAK,7191,-1,batsman,-1,-1,-1
Sufiyan Muqeem,PAK,7536,-1,bowler,-1,-1,-1
Tayyab Tahir,PAK,7192,-1,batsman,-1,-1,-1
Usman Qadir,PAK,5920,-1,bowler,-1,-1,-1
Temba Bavuma,SA,4370,833,batsman,-1,-1,-1
Gerald Coetzee,SA,7155,-1,bowler,-1,-1,-1
Theunis de Bruyn,SA,4634,,batsman,-1,-1,-1
Tony de Zorzi,SA,7156,-1,batsman,-1,-1,-1
Dean Elgar,SA,3968,-1,allrounder,-1,-1,-1
Sarel Erwee,SA,6476,,batsman,-1,-1,-1
Simon Harmer,SA,4372,1922,bowler,-1,-1,-1
